"filename", "language", "TypeScript JSX", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "YAML", "XML", "Docker", "CSS", "comment", "blank", "total"
"/Users/apple/code/MyBlogReact/components/notionBlocks/NotionImage.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 79
"/Users/apple/code/MyBlogReact/components/notionBlocks/NotionQuote.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 90
"/Users/apple/code/MyBlogReact/components/notionBlocks/NotionTextBlock.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/apple/code/MyBlogReact/components/notionBlocks/NotionVideo.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/apple/code/MyBlogReact/components/utility/Breakpoints.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/apple/code/MyBlogReact/components/utility/Tooltip.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 32
"/Users/apple/code/MyBlogReact/components/widget/WidgetMe.tsx", "TypeScript JSX", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 140
"/Users/apple/code/MyBlogReact/components/widget/WidgetOverview.tsx", "TypeScript JSX", 530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 33, 591
"/Users/apple/code/MyBlogReact/config/friends.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/apple/code/MyBlogReact/config/links.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/apple/code/MyBlogReact/config/me.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 103
"/Users/apple/code/MyBlogReact/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/apple/code/MyBlogReact/index.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/apple/code/MyBlogReact/lib/ChatContext.tsx", "TypeScript JSX", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 162
"/Users/apple/code/MyBlogReact/lib/colors.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 10, 2, 119
"/Users/apple/code/MyBlogReact/lib/getMediaCtx.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/apple/code/MyBlogReact/lib/gtag.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/apple/code/MyBlogReact/lib/notion.ts", "TypeScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 8, 18, 148
"/Users/apple/code/MyBlogReact/lib/probeImageSize.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/apple/code/MyBlogReact/lib/types.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/apple/code/MyBlogReact/lib/useAutoScroll.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 4, 14, 77
"/Users/apple/code/MyBlogReact/lib/useResize.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 15, 20, 124
"/Users/apple/code/MyBlogReact/lib/useTextareaShortcuts.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 11, 62
"/Users/apple/code/MyBlogReact/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/Users/apple/code/MyBlogReact/next.config.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 2, 43
"/Users/apple/code/MyBlogReact/package-lock.json", "JSON", 0, 0, 0, 0, 11533, 0, 0, 0, 0, 0, 0, 0, 11533
"/Users/apple/code/MyBlogReact/package.json", "JSON", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/apple/code/MyBlogReact/pages/404_test.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/apple/code/MyBlogReact/pages/_app.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 100
